ref,value,current_package,assembly,target,condition,implementation
R112,0R DNP BYPASS,SR0402,DNP,0402或更大，先算电流/功耗,电源跳线、LED 电流通路或串联电阻，核对 I²R、额定电流及浪涌。,候选规则，原理图/封装尚未变更
C150,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
R113,1M,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R114,1M,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R115,0R DNP BYPASS,SR0402,DNP,0402或更大，先算电流/功耗,电源跳线、LED 电流通路或串联电阻，核对 I²R、额定电流及浪涌。,候选规则，原理图/封装尚未变更
C151,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
C152,100nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
R116,10k,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R117,10k,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R201,5.1k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R202,5.1k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R203,6.98k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R204,3.09k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R205,47k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R206,47k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
C201,4.7uF/16V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C202,10uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C203,4.7uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C301,4.7uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C302,10uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C303,10uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C304,100nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
C305,10uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C306,10uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C307,10uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C308,10uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C309,10uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
R301,100k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R401,4.7k DNP,SR0402,DNP,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R402,4.7k DNP,SR0402,DNP,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
C401,10uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C402,100nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
R403,47k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R404,47k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R405,47k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R406,47k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R407,47k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R501,4.7k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R502,4.7k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
C501,100nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
C502,100nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
C503,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
C504,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
R503,100k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R504,1M 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R505,220k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
C505,100nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
C601,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
C602,10uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C603,100nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
C604,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
C605,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
C606,10uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C607,100nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
R601,4.7k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R602,4.7k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R603,10R 1%,SR0402,FIT,0402或更大，先算电流/功耗,电源跳线、LED 电流通路或串联电阻，核对 I²R、额定电流及浪涌。,候选规则，原理图/封装尚未变更
C608,100nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
R701,0R,SR0402,FIT,0402或更大，先算电流/功耗,电源跳线、LED 电流通路或串联电阻，核对 I²R、额定电流及浪涌。,候选规则，原理图/封装尚未变更
R702,100k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
C701,100nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
C702,22uF/10V,C_0805_2012,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C703,22uF/10V,C_0805_2012,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
R118,10k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R119,200R 1%,SR0402,FIT,0402或更大，先算电流/功耗,电源跳线、LED 电流通路或串联电阻，核对 I²R、额定电流及浪涌。,候选规则，原理图/封装尚未变更
